,WD,lagstiftande
0,Q107343224,kamm
1,Q98000774,LU
2,Q98000786,LU
5,Q98000790,BoU
6,Q98000798,LU
9,Q98000809,JoU
10,Q98000816,LU
13,Q98000825,BoU
14,Q98000847,BoU
16,Q98000848,JoU
18,Q98000856,BoU
19,Q98000857,LU
20,Q98000860,JoU
21,Q98000867,JoU
22,Q98000868,JoU
25,Q98000873,BoU
26,Q98000886,BoU
27,Q98000885,JoU
29,Q98003507,JoU
35,Q98003513,JoU
41,Q98003530,JoU
42,Q98004239,sfu
43,Q98004242,JoU
44,Q98004240,lu
48,Q98004245,sku
51,Q98004253,BoU
52,Q98004258,sku
53,Q98004259,JoU
55,Q98004262,lu
59,Q98004264,juu
60,Q98004274,lu
61,Q98004275,sku
63,Q98004278,juu
66,Q98004282,BoU
68,Q98004286,BoU
74,Q98004294,sku
75,Q98004292,juu
78,Q98004299,JoU
79,Q98004297,lu
82,Q98004306,sku
83,Q98004307,lu
84,Q98004304,JoU
87,Q98004311,BoU
88,Q98004308,juu
91,Q98004318,BoU
94,Q98004322,lu
98,Q98004325,juu
99,Q98004331,JoU
